ground_truth_index,row_in_group,g_leak,g_K,g_Na,stored_spike_count_distance,stored_dtw_distance
0,2198,0.0007084360527427277,0.3860483492704916,1.6316227970608483,2,4107.084579043821
0,2222,0.0007073613662331147,0.3560712585550313,1.6111916045817363,2,4241.580736660256
0,2235,0.0007084551260338997,0.3553537622864735,1.6080267714796022,2,4277.5575505761635
0,2272,0.0008637673266042502,1.513313481552649,3.6255961283146863,2,5155.006599233981
0,2296,0.000707368987209421,0.4124312022429233,1.6373943993040234,2,4058.4821355276686
0,2309,0.000708462747010206,0.41171370597436546,1.6342295662018893,2,4127.646963882181
0,2346,0.0007320885040083246,0.4975786871210014,1.8847513379758285,2,4258.703835364758
0,2370,0.0007074085096917859,0.39818948521156666,1.634904496270758,2,4087.760488919917
0,2383,0.0007085022694925709,0.39747198894300884,1.6317396631686238,2,4099.915390653929
0,2420,0.000863987581278123,1.4822705003179844,3.636554388836357,2,5127.584603482973
0,2444,0.0007071548049595368,0.4162563978821465,1.6255427580601391,2,4091.1207512542887
0,2457,0.0007082485647603218,0.4155389016135887,1.622377924958005,2,4152.069877723498
0,2481,0.0007067092447453211,0.3977860028941991,1.6152296950319653,2,4100.291579775358
0,2494,0.0007078030045461061,0.39706850662564125,1.6120648619298312,2,4161.177756293811
0,2518,0.0007071039925976788,0.3544961389492515,1.6096395325560258,2,4228.925249347767
0,2531,0.0007081977523984638,0.3537786426806937,1.6064746994538917,2,4264.425191251701
0,2555,0.0007070347499147642,0.3545775463798526,1.6086938815332175,2,4229.792841399279
0,2568,0.0007081285097155492,0.3538600501112948,1.6055290484310833,2,4269.742562778695
0,2605,0.0008595444057077887,1.504444305147866,3.5480763099463575,2,5122.470053183763
0,2629,0.0007067929448999028,0.3495314545988748,1.6218700167133966,2,4201.683873446694
0,2642,0.0007078867047006878,0.348813958330317,1.6187051836112625,2,4231.245206650391
0,2666,0.0008587502853601559,1.2839359172021132,3.672254003138492,2,4989.531994611707
0,2679,0.0008598440451609409,1.2832184209335553,3.6690891700363575,2,5005.107142856682
0,2703,0.0007068086278167248,0.41164560070623873,1.6254029453391887,2,4130.714357464054
0,2716,0.0007079023876175098,0.4109281044376809,1.6222381122370546,2,4100.271095522343
0,2753,0.0007322120164824936,0.43038211073821986,1.8859799803740334,2,4384.532539821799
0,2777,0.0007311165624030964,0.5144501733410272,1.852285497087106,2,4318.92330840698
0,2790,0.0007322103222038814,0.5137326770724693,1.849120663984972,2,4324.659457080353
0,2814,0.0007311155435407383,0.49408051134869124,1.874583468054366,2,4272.016415368315
0,2827,0.0007322093033415233,0.4933630150801334,1.871418634952232,2,4307.894277011647
0,2851,0.0007068374690313169,0.4122488193321233,1.6188522637774834,2,4126.226032838185
0,2864,0.0007079312288321019,0.4115313230635655,1.6156874306753493,2,4106.202275221371
0,2901,0.0007079438041525014,0.35357842851220955,1.6245762445079899,2,4219.49000789581
0,2938,0.000707960008826128,0.41469880096187783,1.6083965187399938,2,4132.236952417701
0,2962,0.00073109719948506,0.5127444073381664,1.8724289809379902,2,4249.420319506729
0,2975,0.000732190959285845,0.5120269110696086,1.869264147835856,2,4296.983235187663
0,3012,0.0007080135730525455,0.3467207885045557,1.6832751291683667,2,4176.424739117139
0,3036,0.00070693030157342,0.40168656424409366,1.624585544236774,2,4116.339845475145
0,3049,0.000708024061374205,0.40096906797553583,1.62142071113464,2,4105.5584833796765
0,3073,0.0008598534601126509,1.3188013207533502,3.667964030135724,2,4994.893768008375
0,3086,0.0008609472199134359,1.3180838244847923,3.66479919703359,2,5020.318738780233
0,3110,0.0007069586950064434,0.41531543305973034,1.625399915519526,2,4114.100015162096
0,3123,0.0007080524548072284,0.4145979367911725,1.622235082417392,2,4135.342509774846
0,3147,0.0007310866489348461,0.5116479716328066,1.870931136451711,2,4265.151671473773
0,3160,0.0007321804087356311,0.5109304753642488,1.8677663033495768,2,4275.766533471718
0,3184,0.0007310816045240859,0.5137793113307034,1.887122490329355,2,4239.9650515603
0,3197,0.0007321753643248709,0.5130618150621455,1.883957657227221,2,4262.670107433859
